subject,scan,first_onset
303119,MOTOR,8.037
304727,MOTOR,8.024
308331,MOTOR,8.024
309636,MOTOR,8.05
310621,MOTOR,8.037
316633,MOTOR,8.05
316835,MOTOR,8.05
318637,MOTOR,8.05
336841,MOTOR,8.037
352132,MOTOR,8.037
361941,MOTOR,8.024
377451,MOTOR,8.036
380036,MOTOR,8.05
381038,MOTOR,8.05
386250,MOTOR,8.036
387959,MOTOR,8.037
393247,MOTOR,8.051
393550,MOTOR,8.036
395251,MOTOR,8.037
395756,MOTOR,8.036
397154,MOTOR,8.05
412528,MOTOR,8.05
432332,MOTOR,8.024
433839,MOTOR,8.037
436845,MOTOR,8.024
449753,MOTOR,8.037
459453,MOTOR,8.037
465852,MOTOR,8.05
479762,MOTOR,8.037
495255,MOTOR,8.036
510326,MOTOR,8.05
517239,MOTOR,8.037
520228,MOTOR,8.05
524135,MOTOR,8.024
525541,MOTOR,8.05
529549,MOTOR,8.037
529953,MOTOR,8.05
553344,MOTOR,8.024
555348,MOTOR,8.05
555651,MOTOR,8.05
561444,MOTOR,8.05
562345,MOTOR,8.05
567052,MOTOR,8.036
567961,MOTOR,8.05
568963,MOTOR,8.05
571144,MOTOR,8.05
573249,MOTOR,8.037
576255,MOTOR,8.038
580044,MOTOR,8.037
580751,MOTOR,8.037
585256,MOTOR,8.037
587664,MOTOR,8.05
597869,MOTOR,8.037
599065,MOTOR,8.037
599671,MOTOR,8.037
604537,MOTOR,8.05
611938,MOTOR,8.037
616645,MOTOR,8.036
618952,MOTOR,8.05
622236,MOTOR,8.023
633847,MOTOR,8.05
645450,MOTOR,8.037
654350,MOTOR,8.037
656253,MOTOR,8.037
656657,MOTOR,8.037
657659,MOTOR,8.036
660951,MOTOR,8.037
663755,MOTOR,8.051
664757,MOTOR,8.024
667056,MOTOR,8.05
671855,MOTOR,8.037
679568,MOTOR,8.05
679770,MOTOR,8.037
690152,MOTOR,8.037
695768,MOTOR,8.024
715950,MOTOR,8.037
724446,MOTOR,8.05
725751,MOTOR,8.05
731140,MOTOR,8.024
735148,MOTOR,8.036
744553,MOTOR,8.05
749058,MOTOR,8.037
753150,MOTOR,8.037
769064,MOTOR,8.037
770352,MOTOR,8.024
